Название;Марка;Тип;Тип корпуса;Год выпуска;Стоимость,$;Количество продаж за неделю;Стоимость проданных, руб.
Motorola A1680;Motorola;Телефон;Классический;2010;83;2;#ССЫЛКА!
Motorola Droid Bionic;Motorola;Телефон;Классический;2011;113;1;#ССЫЛКА!
Motorols Charm;Motorola;Телефон;Расскладушка;2010;133;1;#ССЫЛКА!
Nokia Asha 200;Nokia;Телефон;Расскладушка;2011;127;5;#ССЫЛКА!
Nokia C3;Nokia;Телефон;Классический;2010;133;3;#ССЫЛКА!
Nokia N78;Nokia;Смартфон;Классический;2008;217;2;#ССЫЛКА!
Nokia Lumia 800;Nokia;Смартфон;Слайдер;2011;613;2;#ССЫЛКА!
Nokia 6085;Nokia;Телефон;Расскладушка;2010;620;2;#ССЫЛКА!
Nokia Lumia 900;Nokia;Смартфон;Слайдер;2012;781;3;#ССЫЛКА!
Samsung GT3600;Samsung;Телефон;Классический;2008;90;3;#ССЫЛКА!
Samsung Galaxy S2;Samsung;Смартфон;Слайдер;2011;710;2;#ССЫЛКА!
Sony CMD-Z5;Sony;Телефон;Классический;2007;62;4;#ССЫЛКА!
Sony Xperia S;Sony;Телефон;Классический;2012;144;2;#ССЫЛКА!
Sony Ericsson S500;Sony;Телефон;Расскладушка;2007;186;1;#ССЫЛКА!
Sony Ericsson Xperia X8;Sony;Смартфон;Классический;2010;227;2;#ССЫЛКА!
